PhVcal_c01r64_C0   1  64  -149978.80   150021.20    2604.529       263.2       -54.7
PhVcal_c01r65_C0   1  65  -149978.60   150021.41    2668.896       256.1       -61.9
PhVcal_c01r66_C0   1  66  -149977.44   150022.56    2680.514       254.8       -49.8
PhVcal_c01r67_C0   1  67  -149977.67   150022.33    2673.039       254.9       -66.5
PhVcal_c01r68_C0   1  68  -149976.41   150023.59    2650.398       251.8       -79.2
PhVcal_c01r69_C0   1  69  -149981.15   150018.86    2541.496       270.9       -45.0
PhVcal_c01r70_C0   1  70  -149979.18   150020.82    2598.494       263.9       -55.4
PhVcal_c01r71_C0   1  71  -149977.42   150022.58    2641.956       257.1       -63.2
PhVcal_c01r72_C0   1  72  -149978.50   150021.51    2641.408       259.1       -53.6
PhVcal_c01r73_C0   1  73  -149977.91   150022.10    2660.942       256.1       -67.4
PhVcal_c01r74_C0   1  74  -119790.15   119836.51    2145.714       250.5       -77.6
PhVcal_c01r75_C0   1  75  -149981.56   150018.45    2551.402       271.1       -46.9
PhVcal_c01r76_C0   1  76  -149977.90   150022.10    2624.729       260.4       -53.2
PhVcal_c01r77_C0   1  77  -149977.35   150022.66    2698.283       252.7       -60.3
PhVcal_c01r78_C0   1  78  -149976.90   150023.11    2601.796       260.5       -56.6
PhVcal_c01r79_C0   1  79  -149975.31   150024.70    2423.927       258.5       -71.6
PhVcal_c02r00_C0   2   0  -149979.84   150020.17    2675.928       260.3       -43.6
PhVcal_c02r01_C0   2   1  -149979.61   150020.39    2742.949       256.3       -55.9
PhVcal_c02r02_C0   2   2  -149980.81   150019.19    2669.734       260.0       -73.6
PhVcal_c02r03_C0   2   3  -149982.78   150017.23    2566.721       272.2       -36.9
PhVcal_c02r04_C0   2   4  -149981.18   150018.83    2565.498       273.1       -53.9
PhVcal_c02r05_C0   2   5  -149979.86   150020.15    2710.475       255.8       -51.2
PhVcal_c02r06_C0   2   6  -149982.54   150017.47    2600.345       269.1       -53.1
PhVcal_c02r07_C0   2   7  -149978.67   150021.33    2719.385       252.8       -53.8
PhVcal_c02r08_C0   2   8  -149978.52   150021.48    2666.713       255.6       -71.5
PhVcal_c02r09_C0   2   9  -149981.27   150018.74    2613.616       264.8       -32.1
PhVcal_c02r10_C0   2  10  -149981.25   150018.76    2641.085       264.4       -47.2
PhVcal_c02r11_C0   2  11  -149978.59   150021.42    2632.689       261.1       -58.9
PhVcal_c02r12_C0   2  12  -149978.88   150021.13    2618.351       261.6       -48.6
PhVcal_c02r13_C0   2  13  -149978.20   150021.81    2697.406       255.8       -59.2
PhVcal_c02r14_C0   2  14  -149977.72   150022.31    2694.545       252.0       -70.6
PhVcal_c02r15_C0   2  15  -149982.12   150017.89    2552.750       268.5       -35.5
PhVcal_c02r16_C0   2  16  -149981.81   150018.19    2611.607       267.4       -50.0
PhVcal_c02r17_C0   2  17  -149980.28   150019.73    2563.197       268.3       -65.2
PhVcal_c02r18_C0   2  18  -149981.54   150018.47    2622.464       265.6       -51.3
PhVcal_c02r19_C0   2  19  -149978.66   150021.34    2707.159       255.6       -58.6
PhVcal_c02r20_C0   2  20  -149977.26   150022.74    2659.315       252.0       -70.3
PhVcal_c02r21_C0   2  21  -149982.04   150017.97    2573.937       270.8       -39.0
PhVcal_c02r22_C0   2  22  -149980.25   150019.76    2548.748       269.0       -53.6
PhVcal_c02r23_C0   2  23  -149978.31   150021.70    2661.524       258.4       -57.7
PhVcal_c02r24_C0   2  24  -149982.05   150017.96    2570.902       270.3       -57.5
PhVcal_c02r25_C0   2  25  -149978.38   150021.62    2683.329       256.2       -60.8
PhVcal_c02r26_C0   2  26  -149978.19   150021.82    2673.082       255.6       -75.2
PhVcal_c02r27_C0   2  27  -149982.30   150017.71    2525.365       273.1       -41.5
PhVcal_c02r28_C0   2  28  -149980.65   150019.35    2597.569       267.1       -51.8
PhVcal_c02r29_C0   2  29  -149978.15   150021.90    2655.016       257.6       -57.0
PhVcal_c02r30_C0   2  30  -149980.92   150019.09    2574.011       268.2       -55.8
PhVcal_c02r31_C0   2  31  -149978.41   150021.60    2582.240       260.0       -64.7
PhVcal_c02r32_C0   2  32  -149980.20   150019.80    2624.670       260.5       -79.9
PhVcal_c02r33_C0   2  33  -149982.00   150018.01    2532.445       272.1       -40.3
PhVcal_c02r34_C0   2  34  -149981.51   150018.50    2561.733       269.5       -53.4
PhVcal_c02r35_C0   2  35  -149979.63   150020.38    2605.735       260.4       -58.9
PhVcal_c02r36_C0   2  36  -149980.60   150019.41    2556.466       268.0       -55.1
PhVcal_c02r37_C0   2  37  -149979.28   150020.72    2611.023       260.4       -64.5
PhVcal_c02r38_C0   2  38  -149979.41   150020.60    2651.341       257.3       -76.3
PhVcal_c02r39_C0   2  39  -149981.00   150019.01    2542.085       270.4       -40.0
PhVcal_c02r40_C0   2  40  -149979.91   150020.10    2563.477       266.3       -52.0
PhVcal_c02r41_C0   2  41  -149980.24   150019.76    2643.110       261.2       -61.2
PhVcal_c02r42_C0   2  42  -149980.39   150019.61    2557.862       267.1       -55.5
PhVcal_c02r43_C0   2  43  -149979.23   150020.78    2666.829       258.6       -64.0
PhVcal_c02r44_C0   2  44  -149980.67   150019.33    2597.598       264.4       -84.6
PhVcal_c02r45_C0   2  45  -149982.33   150017.68    2574.670       269.9       -39.0
PhVcal_c02r46_C0   2  46  -149980.46   150019.55    2593.583       267.4       -52.7
PhVcal_c02r47_C0   2  47  -149980.24   150019.77    2658.084       260.8       -60.4
PhVcal_c02r48_C0   2  48  -149979.83   150020.17    2576.820       265.9       -54.3
PhVcal_c02r49_C0   2  49  -149980.01   150020.00    2584.894       263.1       -68.1
PhVcal_c02r50_C0   2  50  -149978.84   150021.17    2605.006       256.3       -76.4
PhVcal_c02r51_C0   2  51  -149982.30   150017.71    2549.752       271.6       -40.4
PhVcal_c02r52_C0   2  52  -149979.54   150020.46    2594.412       263.0       -47.9
PhVcal_c02r53_C0   2  53  -149980.64   150019.37    2603.161       262.9       -61.5
PhVcal_c02r54_C0   2  54  -149982.34   150017.67    2519.974       274.5       -62.0
PhVcal_c02r55_C0   2  55  -149980.68   150019.33    2592.834       266.8       -71.2
PhVcal_c02r56_C0   2  56  -149978.72   150021.28    2642.479       254.7       -74.4
PhVcal_c02r57_C0   2  57  -149980.70   150019.31    2592.427       266.2       -36.3
PhVcal_c02r58_C0   2  58  -149981.44   150018.57    2549.436       270.8       -56.5
PhVcal_c02r59_C0   2  59  -149978.69   150021.31    2648.541       258.4       -59.1
PhVcal_c02r60_C0   2  60  -149978.30   150021.71    2619.242       261.3       -51.1
PhVcal_c02r61_C0   2  61  -149980.34   150019.66    2658.247       260.1       -65.9
PhVcal_c02r62_C0   2  62  -149980.14   150019.86    2595.296       261.0       -81.4
PhVcal_c02r63_C0   2  63  -149981.48   150018.53    2568.248       266.1       -36.2
PhVcal_c02r64_C0   2  64  -149978.95   150021.05    2663.113       258.0       -44.1
PhVcal_c02r65_C0   2  65  -149979.32   150020.68    2633.824       258.1       -58.4
PhVcal_c02r66_C0   2  66  -149980.56   150019.45    2562.286       267.3       -56.3
PhVcal_c02r67_C0   2  67  -149978.79   150021.21    2665.971       256.8       -62.9
PhVcal_c02r68_C0   2  68  -149977.54   150022.46    2649.380       254.0       -75.3
PhVcal_c02r69_C0   2  69  -149982.15   150017.86    2540.858       270.7       -40.1
PhVcal_c02r70_C0   2  70  -149980.58   150019.43    2558.343       268.7       -54.4
PhVcal_c02r71_C0   2  71  -149979.54   150020.47    2657.056       259.5       -59.8
PhVcal_c02r72_C0   2  72  -149980.05   150019.96    2559.933       264.7       -53.2
PhVcal_c02r73_C0   2  73  -149978.95   150021.05    2641.897       255.3       -60.4
PhVcal_c02r74_C0   2  74  -149977.92   150022.08    2596.978       256.2       -76.9
PhVcal_c02r75_C0   2  75  -149982.02   150017.99    2528.558       270.4       -41.1
PhVcal_c02r76_C0   2  76  -149979.56   150020.45    2605.166       263.4       -50.4
PhVcal_c02r77_C0   2  77  -149979.28   150020.73    2615.527       261.7       -63.2
PhVcal_c02r78_C0   2  78  -149980.30   150019.71    2583.903       263.9       -53.6
PhVcal_c02r79_C0   2  79  -149977.69   150022.32    2541.343       254.6       -62.0
PhVcal_c03r00_C0   3   0  -149980.06   150019.94    2717.359       255.6       -34.1
PhVcal_c03r01_C0   3   1  -149978.74   150021.26    2783.334       251.2       -46.3
PhVcal_c03r02_C0   3   2  -149976.31   150023.70    2746.342       247.7       -57.5
PhVcal_c03r03_C0   3   3  -149981.50   150018.51    2634.486       262.9       -23.9
PhVcal_c03r04_C0   3   4  -149979.78   150020.23    2636.258       261.5       -38.2
PhVcal_c03r05_C0   3   5  -149977.72   150022.26    2781.907       247.3       -38.3
PhVcal_c03r06_C0   3   6  -149977.23   150021.87    2652.383       256.0       -36.0
PhVcal_c03r07_C0   3   7  -149977.89   150022.11    2722.622       251.8       -48.1
PhVcal_c03r08_C0   3   8  -149978.20   150021.80    2766.547       247.6       -58.4
PhVcal_c03r09_C0   3   9  -149979.85   150020.17    2639.464       258.4       -21.6
PhVcal_c03r10_C0   3  10  -114336.09   114378.58    2002.138       258.3       -37.2
PhVcal_c03r11_C0   3  11  -149979.56   150020.45    2686.509       256.0       -48.6
PhVcal_c03r12_C0   3  12  -149980.49   150019.52    2587.907       263.1       -44.0
PhVcal_c03r13_C0   3  13  -149977.22   150022.78    2745.949       250.6       -49.6
PhVcal_c03r14_C0   3  14  -149977.72   150022.28    2650.383       255.3       -68.2
PhVcal_c03r15_C0   3  15  -149979.91   150020.10    2704.671       255.2       -18.2
PhVcal_c03r16_C0   3  16  -142710.13   142752.31    2510.648       258.6       -37.0
PhVcal_c03r17_C0   3  17  -149975.96   150018.75    2694.711       258.0       -50.8
PhVcal_c03r18_C0   3  18  -149979.98   150020.03    2611.635       267.1       -48.3
PhVcal_c03r19_C0   3  19  -149979.08   150020.93    2625.839       260.3       -57.9
PhVcal_c03r20_C0   3  20  -149978.72   150021.29    2673.290       255.3       -67.5
PhVcal_c03r21_C0   3  21  -149981.17   150018.84    2625.600       262.9       -26.6
PhVcal_c03r22_C0   3  22  -149979.42   150020.59    2637.479       261.3       -40.9
PhVcal_c03r23_C0   3  23  -149979.22   150020.79    2681.674       255.7       -49.6
PhVcal_c03r24_C0   3  24  -149978.94   150021.07    2665.059       257.4       -40.6
PhVcal_c03r25_C0   3  25  -149977.92   150022.09    2693.003       253.6       -53.4
PhVcal_c03r26_C0   3  26  -149979.06   150020.94    2694.379       255.2       -68.9
PhVcal_c03r27_C0   3  27  -149980.35   150019.66    2570.645       265.3       -29.2
PhVcal_c03r28_C0   3  28  -149979.69   150020.31    2629.535       264.1       -43.9
PhVcal_c03r29_C0   3  29  -149979.38   150020.09    2683.403       255.5       -49.4
PhVcal_c03r30_C0   3  30  -149980.53   150019.47    2630.180       262.6       -45.4
PhVcal_c03r31_C0   3  31  -149979.17   150020.84    2643.113       258.8       -58.4
PhVcal_c03r32_C0   3  32  -149976.43   150023.57    2698.524       249.3       -64.1
PhVcal_c03r33_C0   3  33  -149981.36   150018.65    2534.755       267.9       -31.5
PhVcal_c03r34_C0   3  34  -149980.36   150019.65    2625.821       260.9       -40.2
PhVcal_c03r35_C0   3  35  -149979.29   150020.65    2704.568       255.4       -48.7
